Gene	uvb1_S1	uvb2_S2	uvb3_S3	uvb4_S4	clone2a_S5	clone2b_S6	clone2c_S7	clone2d_S8
AC159979.1	0	0	0	0	0	0	0	0
GM42847	0	0	0	0	0	0	0	0
AC160757.3	0	0	4.57408	38.44	0	0	0.59334	16.4778
GM26841	0	0	0	0	0	0	0	0
AL593853.3	0	0	0	0	0	0	0	0
AC116487.2	0	0	0	0	0	0	0	0
GM35722	0	0	0	0	0	0	0	0
RPS2-PS12	0	0	0	0	0	0	0	0
GM37470	0	0	0	0	0	0	0	0
GM30353	0	0	0	0	0	0	0	0
GM21127	0	0	0	0	0	0	0	0
MIR7215	0	0	0	0	0	0	0	0
GM8161	0	0	0	0	0	0	0	0
GM44548	0	0	0	0	0	0	0	0
GM36782	0	0	0	0	0	0	0	0
GM37115	0	0	0	0	0	0	0	0
GM20636	0	0	0	0	0	0	0	0
GM14035	0	0	0	0	0	0	0	0
GM26510	0	0	0	0	0	0	0	0
RPL31-PS5	0	0	0	0	0	0	0	0
GM33533	0	0	0	0	0	0	0	0
GM2087	0	0	0	0	0	0	0	0
PCDHGA7	0	0	0	0	0	0	0	0
GM2396	12078.1	18129.5	16793.6	19582.2	16721.8	20652.7	22947	16315.2
GM14131	0	0	0	0	0	0	0	0
1700054K19RIK	0	0	0	0	0	0	0	0
GM48494	0	0	0	0	0	0	0	0
GM12880	0	0	0.110324	0	0	0.577394	0.387776	0.570875
GM44769	0	0	0	0	0	0	0	0
GM38336	0	0	0	0	0	0	0	0
GM28542	0	0	0	0	0	0	0	0
RBM6-PS1	0	0	0	0	0	0	0	0
GM12095	0	0	0	0	0	0	0	0
GM18557	0	0	0	0	0	0	0	0
GM20911	0	0	0	0	0	0	0	0
GM28877	0	0	0	0	0	0	0	0
GM20655	0	0	0	0	0	0	0	0
GM28340	0	0	0	0	0	0	0	0
GM14113	0	0	0	0	0	0	0	0
GM34176	0	0	0	0	0	0	0	0
GM12396	0	0	0	0	0	0	0	0
RPL7A-PS9	0	0	0	0	0	0	0	0
MRGPRA3	0	0	0	0	0	0	0	0
GM5372	0	0	0	0	0	0	0	0
DEFA29	0	0	0	0	0	0	0	0
GM31227	0	0	0	0	0	0	0	0
CYP21A2-PS	0	0	0	0	0	0	0	0
GM28684	0	0	0	0	0	0	0	0
GM5379	0	0	0	0	0	0	0	0
GM28892	0	0	0	0	0	0	0	0
GM13123	0	0	0	0	0	0	0	0
GM17148	0	0	0	0	0	0	0	0
GM20425	0	0	0	0	0	0	0	0
GM29479	0	0	0	0	0	0	0	0
GM20916	0	0	0	0	0	0	0	0
GM29529	0	0	0	0	0	0	0	0
GM20612	0	0	0	0	0	0	0	0
GM29670	0	0	0	0	0	0	0	0
GM29672	11132.3	8580.32	10292.3	14237.3	7921.98	5106.7	11965.3	4870.53
GM29429	0	0	0	0	0	0	0	0
GM29302	0	0	0	0	0	0	0	0
AC104195.1	0	0	0	0	0	0	0	0
GM2318	0	0	0	0	0	0	0	0
GM4773	0	0	0	0	0	0	0	0
GM44440	0	0	0	0	0	0	0	0
GM3091	0	0	0	0	0	0	0	0
GM17581	0	0	0	0	0	0	0	0
FAM189A2	0	0	0	0	0	0	0	0
GM20798	0	0	0	0	0	0	0	0
AC099572.1	0	0	0	0	0	0	0	0
GM18183	0	0	0	0	0	0	0	0
GM28570	5282.23	3702.54	1228.5	2702.4	5096.24	3868.76	7342.53	4363.46
SCGB2B4-PS	0	0	0	0	0	0	0	0
GM21833	0	0	0	0	0	0	0	0
GM18701	0	0	0	0	0	0	0	0
GM20849	0	0	0	0	0	0	0	0
GM15388	0	0	0	0	0	0	0	0
GM8020	0	0	0	0	0	0	0	0
RPL15-PS1	0	0	0	0	0	0	0	0
GM45558	0	0	0	0	0	0	0	0
GM48330	0	0	0	0	0	0	0	0
GM6919	0	0	0	0	0	0	0	0
GM29234	0	0	0	0	0	0	0	0
VHL-PS1	0	0	0	0	0	0	0	0
1700010B13RIK	0	0	0	0	0	0	0	0
GM42601	0	0	0	0	0	0	0	0
